Section,Variable Name,Label,Definition (Validated from Protocol),Additional Notes (Validated from Protocol),Optum CDM Implementation,R Code Implementation,Sync Status (OrigSpec/Protocol/Code),Sync Status Notes,Date Modified (Initials + Date),QC Reviewed (Initials + Date),Discrepancy Found in Original Program Spec
Valid Mono Maintenance,MAINT_THAL_MONO,"Thalidomide monotherapy","Thalidomide monotherapy. NCCN Other Recommended Regimen for both transplant and non-transplant candidates.","Protocol Section 5.1.1: 'Thalidomide monotherapy (NCCN Other Recommended Regimen for both transplant and non-transplant candidates)'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented,,,No original spec exists for maintenance
Valid Dual Maintenance,MAINT_BORT_LENA_DUAL,"Bortezomib/lenalidomide dual therapy","Bortezomib/lenalidomide dual therapy. NCCN Useful in Certain Circumstances for non-transplant candidates.","Protocol Section 5.1.1: 'Bortezomib/lenalidomide dual therapy (NCCN Useful in Certain Circumstances, for non-transplant candidates)'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented,,,No original spec exists for maintenance
Valid Dual Maintenance,MAINT_CARF_LENA_DUAL,"Carfilzomib/lenalidomide dual therapy","Carfilzomib/lenalidomide dual therapy. NCCN Useful in Certain Circumstances for transplant candidates.","Protocol Section 5.1.1: 'Carfilzomib/lenalidomide dual therapy (NCCN Useful in Certain Circumstances for transplant candidates)'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented,,,No original spec exists for maintenance
Valid Dual Maintenance,MAINT_DARA_LENA_DUAL,"Daratumumab/lenalidomide dual therapy","Daratumumab/lenalidomide dual therapy. NCCN Useful in Certain Circumstances for transplant candidates.","Protocol Section 5.1.1: 'Daratumumab/lenalidomide dual therapy (NCCN Useful in Certain Circumstances for transplant candidates)'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented,,,No original spec exists for maintenance
Maintenance Substitution,MAINT_BORT_IXAZ_SUB,"Bortezomib to ixazomib substitution in maintenance","Substitution of bortezomib induction therapy for ixazomib as a maintenance therapy does not advance the LOT.","Protocol Section 5.1.1: 'Substitution of bortezomib induction therapy for ixazomib as a maintenance therapy'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented,,,No original spec exists for maintenance
Maintenance End,MAINT_END_RULES,"Maintenance regimen end conditions","Once a maintenance regimen has begun (observing valid maintenance medication(s) by itself for at least 120 days), it continues until: (a) discontinuation, (b) presence of an SCT, (c) right censoring (end of follow-up), or (d) the addition of any non-maintenance MM therapy automatically causes the maintenance regimen to end.","Protocol Section 5.1.1: 'Once a maintenance regimen has begun, it continues until discontinuation, presence of an SCT, right censoring (i.e. end of follow-up), or the addition of any non-maintenance MM therapy automatically causes the maintenance regimen to end.'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented,,,No original spec exists for maintenance
Maintenance End,MAINT_REINTRODUCTION_RULE,"Reintroduction of prior regimen medications ends maintenance","The introduction of any MM therapies including therapies that were part of the original regimen does not advance the LOT but ends the maintenance period. Example: a LOT has an initial regimen of Bortezomib+Lenalidomide and later the patient has a Bortezomib mono maintenance regimen; if Lenalidomide restarts then the maintenance regimen will end as 120+ days of only Bortezomib were observed and the reintroduction of Lenalidomide could indicate progression.","Protocol Section 5.1.1: 'The introduction of any MM therapies including therapies that were part of the original regimen does not advance the LOT (e.g., a LOT has an initial regimen of Bortezomib+Lenalidomide and later the patient has a Bortezomib mono maintenance regimen; if Lenalidomide restarts at some point then the maintenance regimen will end as we observed 120+ days of only Bortezomib and the reintroduction of Lenalidomide could indicate progression).'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented,,,No original spec exists for maintenance
Maintenance End,MAINT_END_UNPLANNED_SCT,"Unplanned SCT ends maintenance","Unplanned SCTs, death, health plan disenrollment, and end of study period all end the maintenance regimen.","Protocol Section 5.1.1: 'Unplanned SCTs (defined above), Death, Health plan disenrollment, end of study period' end the maintenance regimen.",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented,,,No original spec exists for maintenance
Maintenance Variables,LOTN_MAINT_START_DT,"LOT N maintenance start date","Date when the maintenance regimen begins within the LOT. For transition maintenance (situation 1): date when only maintenance medications remain. For post-SCT maintenance (situation 2): first date of valid maintenance therapy within 180 days of the SCT.","Protocol Section 5.1.1: Maintenance regimen situations 1 and 2 define when maintenance begins within a LOT.",Not yet implemented,lot1baseend has LOT1_BASEMAINT_START placeholder,NNP,Protocol-defined; partial placeholder in lot1baseend,,,No original spec exists for maintenance
Maintenance Variables,LOTN_MAINT_END_DT,"LOT N maintenance end date","Date when the maintenance regimen ends within the LOT. Ends at: discontinuation, SCT, right censoring, or addition of non-maintenance MM therapy.","Protocol Section 5.1.1: 'it continues until discontinuation, presence of an SCT, right censoring (i.e. end of follow-up), or the addition of any non-maintenance MM therapy'",Not yet implemented,lot1baseend has LOT1_BASEMAINT_END placeholder,NNP,Protocol-defined; partial placeholder in lot1baseend,,,No original spec exists for maintenance
Maintenance Variables,LOTN_MAINT_TYPE,"LOT N maintenance therapy type","Abbreviation(s) of the maintenance medication(s). Mono: LENA, BORT, DARA, IXAZ, THAL. Dual: BORT+LENA, CARF+LENA, DARA+LENA.","Protocol Section 5.1.1: Lists all valid mono and dual maintenance therapies.",Not yet implemented,lot1baseend has LOT1_BASEMAINT_TYP placeholder,NNP,Protocol-defined; partial placeholder in lot1baseend,,,No original spec exists for maintenance
Maintenance Variables,LOTN_MAINT_END_REASON,"LOT N maintenance end reason","Categorical: DISCONTINUATION / SCT / CENSORING / NON_MAINT_THERAPY_ADDED / UNPLANNED_SCT / DEATH / DISENROLLMENT / STUDY_END.","Protocol Section 5.1.1: Defines maintenance end conditions.",Not yet implemented,lot1baseend has LOT1_BASEMAINT_END_REASON placeholder,NNP,Protocol-defined; partial placeholder in lot1baseend,,,No original spec exists for maintenance
