name,value,description
SEC2L_INPUT_IS_WIDE,FALSE,"Asserts INPUT_COHORT_TABLE and its LOT run were built WITHOUT the other-cancer exclusion and the 1L index floor. Selecting SEC2L without it stops the run - the cohort would be nested in the primary one and its baseline malignancy prevalence zero by construction"
#,,--- follow-up and censoring ---
CENSOR_AT_DISENROLLMENT,TRUE,Protocol s7.1 ends follow-up at the end of continuous enrolment - OPEN_QUESTIONS Q13
#,,--- demographics ---
FRAILTY,FALSE,"TRUE computes the Kim 2018 claims-based frailty index. Needs frailty_kim2018.csv, which is Annex 7 and carries no codes yet - so TRUE stops the run naming it"
COMORBID_SUBGROUPS,FALSE,"TRUE writes Table 4's baseline subgroup flags (neuropathy, lung parenchymal disease). Needs comorbid_subgroups.csv, which is Annex 3 and carries no codes yet"
FRAILTY_FRAIL_CUTOFF,0.25,CFI at or above this is frail. Kim 2018's own cut-point; Annex 7 may say otherwise
REGION_SOURCE,state_crosswalk,region_column or state_crosswalk - OPEN_QUESTIONS Q9
ENROL_ATTR_AT,index_span,index_span or latest_span. Which enrolment row supplies a time-varying attribute - OPEN_QUESTIONS Q16
ED_ADMITTED,both,"both or inpatient_only - is an ED visit that became an admission counted as an ED visit too? A claim carrying a CONF_ID became an admission (business rule 14) - OPEN_QUESTIONS Q11"
CLAIM_STATUS,all,"all or paid_only - MEDICAL.PAID_STATUS separates PAID from DENIED; nothing has ever filtered on it - OPEN_QUESTIONS Q25"
ED_DEFINITION,"revenue,pos",Any of revenue pos cpt - how an emergency visit is identified - OPEN_QUESTIONS Q11
#,,--- reporting ---
SUPPRESS_MIN_N,25,Stratifications with fewer patients than this are not reported
RATE_MULTIPLIER,100000,Person-year rates are reported per this many person-years
MAX_LOT,4,Highest line this package describes. The LOT engine builds 5
#,,--- selection ---
COHORTS,"1L,2L,3L",Which cohorts to build. Any of 1L 2L 3L SEC2L
MODULES,all,Which modules to run. all or a comma-separated list of module keys
SKIP_MODULES,,Modules to leave out of an otherwise-selected set
DRY_RUN,FALSE,Resolve and print the plan without touching the warehouse
