name,value,description
ACUTE_WASHOUT_DAYS,30,Minimum separation between two acute events of the same type
TTE_MIN_POTENTIAL_FU_DAYS,90,Potential follow-up a patient needs to enter the time-to-event analysis set
DX_DATE_SOURCE,cohort_mm_dx,"cohort_mm_dx or baseline_first_claim. The diagnosis date behind year of MM diagnosis, follow-up from diagnosis and time from diagnosis to 1L. cohort_mm_dx is the cohort build's qualifying I1 diagnosis, the date age and the 1L index are already measured against; baseline_first_claim is Table 4's own definition - the first MM claim within the 1L baseline on or prior to 1L - and needs mm_dx.csv - OPEN_QUESTIONS Q30"
#,,--- criteria switches: each is an OPEN_QUESTIONS entry ---
MM_DX_OUTPATIENT_CODES,listed,strict or listed. Which codes the outpatient arm accepts - OPEN_QUESTIONS Q2
MM_DX_OUTPATIENT_WINDOW_DAYS,90,Days within which two outpatient MM claims confirm a diagnosis - OPEN_QUESTIONS Q3
FU_EVIDENCE_RULE,claim_from_index,claim_from_index or claim_after_index or enrolled_on_index - OPEN_QUESTIONS Q5
PRIOR_TX_DROP_STEROIDS,TRUE,Drop steroid rows from the prior-therapy scan - OPEN_QUESTIONS Q6
OTHER_CANCER_PAIR_DAYS,30,Days within which two outpatient cancer claims confirm another cancer
OTHER_CANCER_PAIR_GRAIN,icd3,icd3 or tumor_group. What two claims must share to confirm each other
OTHER_CANCER_BOTH_IN_BASELINE,TRUE,Require both claims of a pair inside the baseline window
PREGNANCY_WINDOW,study_period,study_period or patient_period - OPEN_QUESTIONS Q23
SEC2L_APPLY_OTHER_CANCER,FALSE,The secondary 2L cohort permits prior malignancy - OPEN_QUESTIONS Q7
SEC2L_INPUT_IS_WIDE,FALSE,"Asserts INPUT_COHORT_TABLE and its LOT run were built WITHOUT the other-cancer exclusion and the 1L index floor. Selecting SEC2L without it stops the run - the cohort would be nested in the primary one and its baseline malignancy prevalence zero by construction"
MALIG_PREVALENCE_WINDOW,since_diagnosis,"since_diagnosis or baseline. The window a cohort that permits a prior malignancy reports its background malignancy prevalence over: s7.4.1.2 and s7.8.4 say after diagnosis but prior to 2L; s7.8.1 says during baseline - OPEN_QUESTIONS Q31"
#,,--- follow-up and censoring ---
CENSOR_AT_DISENROLLMENT,TRUE,Protocol s7.1 ends follow-up at the end of continuous enrolment - OPEN_QUESTIONS Q13
#,,--- demographics ---
FRAILTY,FALSE,"TRUE computes the Kim 2018 claims-based frailty index. Needs frailty_kim2018.csv, which is Annex 7 and carries no codes yet - so TRUE stops the run naming it"
COMORBID_SUBGROUPS,FALSE,"TRUE writes Table 4's baseline subgroup flags (neuropathy, lung parenchymal disease). Needs comorbid_subgroups.csv, which is Annex 3 and carries no codes yet"
FRAILTY_FRAIL_CUTOFF,0.25,CFI at or above this is frail. Kim 2018's own cut-point; Annex 7 may say otherwise
REGION_SOURCE,state_crosswalk,region_column or state_crosswalk - OPEN_QUESTIONS Q9
ENROL_ATTR_AT,index_span,index_span or latest_span. Which enrolment row supplies a time-varying attribute - OPEN_QUESTIONS Q16
ED_ADMITTED,both,"both or inpatient_only - is an ED visit that became an admission counted as an ED visit too? A claim carrying a CONF_ID became an admission (business rule 14) - OPEN_QUESTIONS Q11"
CLAIM_STATUS,all,"all or paid_only - MEDICAL.PAID_STATUS separates PAID from DENIED; nothing has ever filtered on it - OPEN_QUESTIONS Q25"
ED_DEFINITION,"revenue,pos",Any of revenue pos cpt - how an emergency visit is identified - OPEN_QUESTIONS Q11
#,,--- reporting ---
SUPPRESS_MIN_N,25,Stratifications with fewer patients than this are not reported
RATE_MULTIPLIER,100000,Person-year rates are reported per this many person-years
MAX_LOT,4,Highest line this package describes. The LOT engine builds 5
#,,--- selection ---
COHORTS,"1L,2L,3L",Which cohorts to build. Any of 1L 2L 3L SEC2L
MODULES,all,Which modules to run. all or a comma-separated list of module keys
SKIP_MODULES,,Modules to leave out of an otherwise-selected set
DRY_RUN,FALSE,Resolve and print the plan without touching the warehouse
